medicine_name
Myozex 80
Myozex
Myozex-80
Deto
Decto
Pecto
Ocid 20
Ocid
Pantop
Pantop 20
Pantop 40
Pantocid
Pantocid 20
Pantocid 40
Pantoprazole
Pan
Pan 40
Pan D
Omez
Omeprazole
Rantac
Ranitidine
Aciloc
Rabeprazole
Rabez
Esomeprazole
Esofag
Paracetamol
Dolo 650
Crocin
Amoxicillin
Augmentin
Azithromycin
Cetirizine
Levocetirizine
Metformin
Amlodipine
Monocef
Metrogyl
Zincovit
Calpol
